disease,cause
gastritis,"The most common causes of gastritis are:

Certain medicines, such as aspirin, ibuprofen, or naproxen and other similar drugs
Heavy alcohol drinking
Infection of the stomach with a bacteria called Helicobacter pylori
Less common causes are:

Autoimmune disorders (such as pernicious anemia)
Backflow of bile into the stomach (bile reflux)
Cocaine use
Eating or drinking caustic or corrosive substances (such as poisons)
Extreme stress
Viral infection, such as cytomegalovirus and herpes simplex virus (more often occurs in people with a weak immune system)
Trauma or a severe, sudden illness such as major surgery, kidney failure, or being placed on a breathing machine may cause gastritis."
glaucoma,"Glaucoma occurs when the optic nerve becomes damaged, leading to the development of blind spots in vision. This nerve damage is often associated with increased pressure in the eye, though the exact reasons for the damage are not fully understood by eye specialists.

Increased eye pressure results from the buildup of fluid, known as aqueous humor, inside the eye. This fluid typically drains through a tissue called the trabecular meshwork, located at the angle where the iris and cornea meet. The cornea plays a crucial role in vision by allowing light to enter the eye. If the eye produces too much fluid or if the drainage system is impaired, eye pressure can rise.

Types of Glaucoma
Open-Angle Glaucoma
The most common form, this occurs when the drainage angle between the iris and cornea remains open, but other parts of the drainage system do not function properly. This leads to a gradual increase in eye pressure over time.

Acute Angle-Closure Glaucoma
This form arises when the iris bulges, blocking the drainage angle either partially or completely. Fluid becomes trapped, causing a rapid or gradual rise in eye pressure.

Normal-Tension Glaucoma
In this type, the optic nerve becomes damaged despite normal eye pressure. The cause is unclear but may involve increased sensitivity of the optic nerve or reduced blood flow, possibly due to atherosclerosis (buildup of fatty deposits in the arteries) or other circulation-related conditions.

Glaucoma in Children
Glaucoma can affect children from birth or during their early years. Causes may include blocked drainage, injury, or underlying medical conditions leading to optic nerve damage.

Pigmentary Glaucoma
In this form, pigment granules from the iris flake off and obstruct or slow the drainage of fluid. Physical activities like jogging may dislodge these granules, causing them to accumulate at the drainage angle and increase eye pressure.

Genetic Factors
Glaucoma often runs in families. Scientists have identified certain genes associated with high eye pressure and optic nerve damage, suggesting a hereditary component to the condition."
tachycardia,"Tachycardia refers to an abnormally fast heart rate. When it is triggered by factors like exercise or stress, it is called sinus tachycardia. Sinus tachycardia is considered a symptom rather than a medical condition.

Various heart-related issues can cause different types of tachycardia, including irregular heart rhythms known as arrhythmias. A common example of an arrhythmia is atrial fibrillation (AFib).

Other potential causes of tachycardia include:

Fever.
Excessive alcohol consumption, defined as 14 or more drinks per week for men and 7 or more drinks per week for women.
Alcohol withdrawal.
Excessive caffeine intake.
High or low blood pressure.
Imbalances in body minerals (electrolytes), such as potassium, sodium, calcium, or magnesium.
Certain medications.
Overactive thyroid (hyperthyroidism).
Anemia (a low red blood cell count).
Smoking or nicotine use.
Use of illegal stimulants, such as cocaine or methamphetamine.
Heart attack.
Recognizing these underlying causes is important for managing tachycardia effectively."
anemia,"Anemia occurs when the blood has insufficient levels of hemoglobin or red blood cells. This can happen due to:

The body not producing enough hemoglobin or red blood cells.
Loss of red blood cells and hemoglobin due to bleeding faster than they can be replenished.
The body destroying red blood cells and their hemoglobin.
Role of Red Blood Cells
Blood contains three types of cells:

White blood cells: Fight infection.
Platelets: Help with blood clotting.
Red blood cells: Carry oxygen to the body and remove carbon dioxide.
Red blood cells contain hemoglobin, an iron-rich protein that gives blood its red color. Hemoglobin allows red blood cells to transport oxygen from the lungs to tissues and carbon dioxide from tissues back to the lungs for exhalation.

Red blood cells and hemoglobin are produced in the bone marrow, the spongy tissue within large bones. The production process requires nutrients like iron, vitamin B-12, folate, and other dietary components.

Causes of Anemia
Different types of anemia have various causes, including:

Iron-deficiency anemia: The most common type, caused by insufficient iron. Iron is necessary for the bone marrow to produce hemoglobin. It can result from inadequate dietary iron, blood loss (e.g., heavy menstrual periods, ulcers, cancer), or lack of iron supplementation during pregnancy.

Vitamin deficiency anemia: Inadequate folate or vitamin B-12 in the diet can hinder red blood cell production. Some people cannot absorb vitamin B-12 properly, leading to pernicious anemia.

Anemia of inflammation: Chronic diseases like cancer, HIV/AIDS, rheumatoid arthritis, kidney disease, or Crohn's disease can interfere with red blood cell production.

Aplastic anemia: A rare but life-threatening condition where the body stops making enough new blood cells. Causes include infections, certain medications, autoimmune diseases, and exposure to toxic chemicals.

Anemias related to bone marrow diseases: Disorders like leukemia or myelofibrosis can disrupt red blood cell production in the bone marrow. Severity can range from mild to life-threatening.

Hemolytic anemias: This group of anemias occurs when red blood cells are destroyed faster than the bone marrow can replace them. Some forms are inherited, while others result from blood disorders.

Sickle cell anemia: An inherited type of hemolytic anemia where abnormal hemoglobin causes red blood cells to form a crescent (sickle) shape. These cells break down prematurely, leading to a persistent shortage of red blood cells."
pancreatitis,"There are a number of factors that can cause pancreatitis. The most common causes are:

Gallstones (digestive fluids that become solid and form stones in the gallbladder)
Heavy alcohol use
Genetic disorders of the pancreas
Certain medicines

Other causes include:

Smoking
High levels of triglycerides (a type of fat in your blood)
High levels of parathyroid hormone in the blood (called hyperparathyroidism)
High levels of calcium in the blood (called hypercalcemia)
Cancer of the pancreas
Cystic fibrosis
A family history of pancreatitis
Abdominal surgery
Injury to the abdomen"
tuberculosis,"TB is caused by bacteria (germs) called Mycobacterium tuberculosis. The germs spread from person to person through the air. People who have TB disease in their throat or lungs spread the germs in the air when they cough, sneeze, talk, or sing. If you breathe in the air that has the germs, you can get TB.

TB is not spread by touching, kissing, or sharing food or dishes.

You're more likely to catch TB from people you live or work with than from people you see for shorter amounts of time.

Who is more likely to get infected with tuberculosis (TB) germs?
Anyone who is near a person with TB disease can get infected with the germs. You are more likely to be near someone with TB disease if you:

Were born in or often travel to countries where TB disease is common
Are a health care worker
Work or live in a place where TB is more common, such as shelters for people without homes, jails, and nursing homes
Who is more likely to develop TB disease?
Certain people are more likely to get sick with TB disease after they get infected. They include people who:

Have HIV
Became infected with TB in the last 2 years
Have other diseases, such as diabetes, that make it hard for your body to fight TB germs
Have alcohol use disorder (AUD) or inject illegal drugs
Were not treated correctly for TB in the past
Are under age 5
Are an older adult
Take medicines that weaken the immune system, such as medicines taken after an organ transplant, steroids, and specialized treatments for certain autoimmune diseases"
chickenpox,"Chickenpox is caused by the varicella-zoster virus. It is a member of the herpesvirus family. The same virus also causes shingles in adults.

Chickenpox can be spread very easily to others from 1 to 2 days before blisters appear until all the blisters have crusted over. You may get chickenpox:

From touching the fluids from a chickenpox blister
If someone with the disease coughs or sneezes near you
Most cases of chickenpox occur in children younger than age 10. The disease is most often mild, although serious complications may occur. Adults and older children get sicker than younger children in most cases.

Children whose mothers have had chickenpox or have received the chickenpox vaccine are not very likely to catch it before they are 1 year old. If they do catch chickenpox, they often have mild cases. This is because antibodies from their mothers' blood help protect them. Children under 1 year old whose mothers have not had chickenpox or the vaccine can get severe chickenpox.

Severe chickenpox symptoms are more common in children whose immune system does not work well."
mumps,"Mumps is caused by a virus. The virus spreads from person to person by drops of moisture from the nose and mouth, such as through sneezing. It is also spread through direct contact with items that have infected saliva on them.

Mumps most often occurs in children ages 2 through 12 who have not been vaccinated against the disease. However, the infection can occur at any age and may also be seen in college age students.

The time between being exposed to the virus and getting sick (incubation period) is about 12 to 25 days."
tetanus,"Spores of the bacterium C tetani are found in the soil, and in animal feces and mouth (gastrointestinal tract). In the spore form, C tetani can remain inactive in the soil. But it can remain infectious for more than 40 years.

You can get tetanus infection when the spores enter your body through an injury or wound. The spores become active bacteria that spread in the body and make a poison called tetanus toxin (also known as tetanospasmin). This poison blocks nerve signals from your spinal cord to your muscles, causing severe muscle spasms. The spasms can be so powerful that they tear the muscles or cause fractures of the spine.

The time between infection and the first sign of symptoms is about 7 to 21 days. Nearly all cases of tetanus in the United States occur in those who have not been vaccinated against the disease.
"
polio,"Polio is a disease caused by infection with the poliovirus. The virus spreads by:

Direct person-to-person contact
Contact with infected mucus or phlegm from the nose or mouth
Contact with infected feces
The virus enters through the mouth and nose, multiplies in the throat and intestinal tract, and then is absorbed and spread through the blood and lymph system. The time from being infected with the virus to developing symptoms of disease (incubation) ranges from 5 to 35 days (average 7 to 14 days). Most people do not develop symptoms.

Risks factors include:

Lack of immunization against polio
Travel to an area that has had a polio outbreak
As a result of a global vaccination campaign over the past 25 years, polio has largely been eliminated. The disease still exists in some countries (such as Pakistan and Afghanistan), with outbreaks occurring in groups of people who have not been vaccinated."
lupus,"The cause of lupus is unknown. Researchers are studying what might cause or trigger the disease, such as:

Genetics
Environmental factors, such as viral infections, sunlight, certain medicines, and smoking
Problems with the immune system"
hemophilia,"Variants in the F8 gene cause hemophilia A, while variants in the F9 gene cause hemophilia B. The F8 gene provides instructions for making a protein called coagulation factor VIII. A related protein, coagulation factor IX, is produced from the F9 gene. Coagulation factors are proteins that work together in the blood clotting process. After an injury, blood clots protect the body by sealing off damaged blood vessels and preventing excessive blood loss.

Variants in the F8 or F9 gene lead to the production of an abnormal version of coagulation factor VIII or coagulation factor IX, or reduce the amount of one of these proteins. The altered or missing protein cannot participate effectively in the blood clotting process. As a result, blood clots cannot form properly in response to injury. These problems with blood clotting lead to continuous bleeding that can be difficult to control. The variants that cause severe hemophilia almost completely eliminate the activity of coagulation factor VIII or coagulation factor IX. The variants involved in mild and moderate hemophilia reduce but do not eliminate the activity of one of these proteins.

Another form of the disorder, known as acquired hemophilia, is not caused by inherited gene variants. This rare condition is characterized by abnormal bleeding into the skin, muscles, or other soft tissues, usually beginning in adulthood. Acquired hemophilia results when the body makes specialized proteins called autoantibodies that attack and disable coagulation factor VIII. The production of autoantibodies is sometimes associated with pregnancy, immune system disorders, cancer, or allergic reactions to certain drugs. In about half of cases, the cause of acquired hemophilia is unknown."
Chronic Fatigue Syndrome (CFS),"Scientists have been researching chronic fatigue syndrome for many years, but they still don't know for sure what causes it.

Many doctors believe that the way some conditions interact within the body and mind might leave some people at risk for CFS. For example, if someone has a virus and is under a lot of stress, the combination of these two things might make them more likely to develop CFS.

These things are believed to interact with each other in this way, putting some people at risk for CFS:

infections. Experts have wondered if infections like measles or Epstein-Barr virus (the virus that causes mono) might increase the risk for CFS. The role Epstein-Barr plays in CFS is not clear because studies have not confirmed it as a cause.
problems with the immune system or the nervous system
hormone imbalances
emotional stress
low blood pressure
Chronic fatigue syndrome can affect people of all ethnicities and ages, but it's most common in people in their forties or fifties. It's very rare in kids. A few teens do get CFS, and it affects more girls than guys.

Sometimes different people in the same family get CFS. This might be because the tendency to develop CFS is genetic, but more research is needed to see if this is true."
