disease,source,cause
fibromyalgia,MedlinePlus,"Fibromyalgia is known to run in families, suggesting that genetic factors contribute to the risk of developing this disease. However, little is known for certain about the genetic basis of fibromyalgia. It is likely that variations in many genes, each with a small effect, combine to increase the risk of developing this condition.

The signs and symptoms of fibromyalgia are related to the way the brain recognizes and interprets pain signals. People with fibromyalgia have an increased sensitivity to pain; they feel pain more acutely than others would in response to a given stimulus. Researchers describe this phenomenon as the ""volume"" of pain sensations being turned up too high (pain amplification). Studies of the genetics of fibromyalgia have focused on genes with roles in the way the brain processes pain. For example, several genes that may influence the condition are involved in the production and breakdown of certain chemical messengers called neurotransmitters. These chemicals relay signals between nerve cells that can increase or decrease the sensation of pain, a process known as pain modulation.

Nongenetic (environmental) factors also play critical roles in a person's risk of developing fibromyalgia. The disorder can be triggered by infection or illness that would not otherwise cause chronic pain, injury, and other physical stress. Psychological and social factors such as a history of childhood abuse or neglect, exposure to war or other catastrophic events, and low job or life satisfaction have also been associated with an increased risk of fibromyalgia. Additionally, physical inactivity, obesity, and sleep disturbances seem to increase risk. However, many people who develop this condition do not have any recognized triggers or risk factors. It is likely that environmental conditions interact with genetic factors to determine the overall risk of developing this disorder."
fibromyalgia,Healthline,"Healthcare professionals and researchers do not know what causes fibromyalgia.

According to the latest research, the cause appears to involve a genetic disposition complemented by one or more triggers (such as infection, trauma, or stress).

Experts do not fully understand what causes the chronic widespread nature of fibromyalgia pain, either.

One theory is that the brain lowers the pain threshold. Sensations that were not painful before become very painful over time.

Another theory is that the brain and nerves may misinterpret or overreact to normal pain signals. They become more sensitive, to the point where they cause unnecessary or exaggerated pain. This may be due to a chemical imbalance in the brain or an abnormality in the dorsal root ganglion, which is a cluster of neurons in the spine.

Genes
Fibromyalgia often runs in families. If you have a family member with this condition, you’re at a higher risk for developing it.

Researchers think certain gene mutations may play a role. They’ve identified a few possible genes that affect the transmission of chemical pain signals between nerve cells.

Infections
A past illness could trigger fibromyalgia or make its symptoms worse. Infections that have possible links to fibromyalgia include:

flu
pneumonia
Epstein-Barr virus
gastrointestinal infections, such as those caused by the bacteria Salmonella and Shigella
Trauma
People who go through severe physical or emotional trauma may develop fibromyalgia. The condition has been linked to post-traumatic stress disorder (PTSD).

Stress
Like trauma, stress can have long-lasting effects on your body. Stress has been linked to hormonal changes that could contribute to fibromyalgia."
gallstones,MayoClinic,"It's not clear what causes gallstones to form. Doctors think gallstones may result when:

Your bile contains too much cholesterol. Normally, your bile contains enough chemicals to dissolve the cholesterol excreted by your liver. But if your liver excretes more cholesterol than your bile can dissolve, the excess cholesterol may form into crystals and eventually into stones.
Your bile contains too much bilirubin. Bilirubin is a chemical that's produced when your body breaks down red blood cells. Certain conditions cause your liver to make too much bilirubin, including liver cirrhosis, biliary tract infections and certain blood disorders. The excess bilirubin contributes to gallstone formation.
Your gallbladder doesn't empty correctly. If your gallbladder doesn't empty completely or often enough, bile may become very concentrated, contributing to the formation of gallstones."
gallstones,MedlinePlus,"The cause of gallstones varies. There are two main types of gallstones:

Stones made of cholesterol -- This is the most common type. Cholesterol gallstones are not related to cholesterol level in the blood. In most cases, they are not visible on CT scans but are visible on a sonogram (ultrasound) of the abdomen.
Stones made of bilirubin -- These are called pigment stones. They occur when red blood cells are destroyed and too much bilirubin is in the bile."
gallstones,Healthline,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too."
GERD,MayoClinic,"GERD, or gastroesophageal reflux disease, is a condition commonly associated with acid reflux, which occurs when the lower esophageal sphincter (LES) does not function properly.

The LES is a circular muscle at the bottom of the esophagus that opens to allow food and liquids to pass into the stomach and closes to prevent backflow. When the LES weakens or fails to close correctly, stomach contents, including digestive acids, can flow back into the esophagus, causing discomfort and inflammation.

Factors Affecting LES Function
Several factors can interfere with the proper functioning of the LES, including:

Hiatal hernia: This occurs when part of the stomach moves above the diaphragm, weakening its ability to support the LES.
Overeating: Consuming large meals can stretch the stomach, reducing the pressure on the LES and allowing reflux.
Lying down after eating: This position can reduce the pressure needed for the LES to stay closed.
Additional Contributing Factors
Certain lifestyle habits and health conditions can increase the risk of GERD or worsen symptoms:

Lifestyle factors:

Smoking or exposure to secondhand smoke
Eating large meals close to bedtime
Frequent use of NSAIDs like aspirin and ibuprofen
Health factors:

Obesity
Pregnancy
Connective tissue disorders
Aging
Other health conditions:

Anxiety
Asthma
Irritable bowel syndrome (IBS)
Pregnancy
The Role of Alcohol
Research shows that alcohol can exacerbate GERD, with higher consumption levels linked to increased risk. Reducing or eliminating alcohol intake may help improve symptoms.

Dietary Triggers
Certain foods and beverages are more likely to provoke GERD symptoms, such as:

High-fat foods, including fried and fast foods
Spicy dishes
Acidic fruits and vegetables, like citrus, tomatoes, and pineapple
Drinks like coffee, tea, and carbonated beverages
Managing GERD typically involves lifestyle adjustments, such as avoiding trigger foods, maintaining a healthy weight, and reducing alcohol consumption, to alleviate symptoms and improve quality of life."
GERD,MedlinePlus,"GERD, or gastroesophageal reflux disease, often leads to acid reflux due to dysfunction of the lower esophageal sphincter (LES).

The LES is a ring of muscle located at the lower end of the esophagus. It relaxes to allow food and liquids to pass from the esophagus into the stomach and then tightens to prevent backflow. However, acid reflux occurs when the LES does not close properly, allowing stomach contents, including digestive juices, to flow back into the esophagus.

Factors Affecting LES Function
The LES may not work effectively due to:

Hiatal hernia: When part of the stomach pushes above the diaphragm, it can impair the LES's ability to close.
Large meals: Overeating can distend the stomach, reducing pressure on the LES and hindering its function.
Lying down soon after eating: This can decrease the pressure needed for the LES to function correctly.
Other Contributing Factors
Persistent reflux and esophageal inflammation may result from several lifestyle and health factors:

Lifestyle factors:

Smoking or exposure to secondhand smoke
Consuming large meals before lying down
Excessive use of nonsteroidal anti-inflammatory drugs (NSAIDs), like aspirin or ibuprofen
Health factors:

Obesity
Pregnancy
Connective tissue disorders
Older age
Other health conditions:

Anxiety
Asthma
Irritable bowel syndrome (IBS)
Pregnancy
Alcohol and GERD
Research indicates that alcohol consumption may increase GERD risk, with stronger correlations seen with higher quantities and frequency. Reducing or avoiding alcohol can help alleviate symptoms.

Dietary Triggers
Certain foods and beverages can aggravate GERD symptoms, such as:

High-fat foods like fried or fast foods
Spicy foods
Specific fruits and vegetables, including citrus, tomatoes, and pineapple
Beverages like coffee, tea, and carbonated drinks
If diagnosed with GERD, lifestyle adjustments, dietary changes, and limiting alcohol intake can help manage symptoms effectively."
GERD,Healthline,"GERD commonly causes acid reflux, which may result from improper functioning of the lower esophageal sphincter (LES).

The LES is a circular band of muscle at the end of your esophagus. When you swallow, it relaxes and opens up to allow food and liquid to travel from your mouth to your stomach. Then, it tightens and closes again.

Acid reflux happens when your LES doesn’t tighten or close properly. This allows digestive juices and other contents of your stomach to rise up into your esophagus.

Your LES may not function properly if you:

Have a hiatal hernia: This occurs when part of your stomach moves above your diaphragm toward your chest. If your diaphragm is compromised, it may prevent your LES from functioning properly.
Frequently eat large meals: This may cause distension of the upper part of your stomach. This distension sometimes means there isn’t enough pressure on the LES, and it doesn’t close properly.
Lie down too soon after meals: This might not create enough pressure for the LES to function properly.

Other factors, including those listed below, may also contribute to having heartburn more than twice a week.

Lifestyle factors
Lifestyle factors that may contribute to persistent reflux with esophageal inflammation include:

smoking or being exposed to secondhand smoke
eating large meals before lying down
using an abundance of nonsteroidal anti-inflammatory drugs such as aspirin and ibuprofen
Health factors
Health factors such as the following may contribute to GERD:

obesity
pregnancy
connective tissue disorders
older age

Other conditions
Other health conditions that can worsen the symptoms of GERD include:

anxiety
pregnancy
asthma
irritable bowel syndrome

Alcohol
Studies suggest that drinking alcohol may increase the risk of GERD. The greater the quantity of alcohol and frequency of consumption, the greater the correlation.

If you’ve received a diagnosis of GERD, limiting or stopping alcohol intake may provide symptom relief.

Dietary triggers
Some foods may trigger GERD symptoms more than others, including:

high fat foods such as fried and fast foods
spicy foods
certain fruits and vegetables, such as pineapple, tomato, and citrus
certain liquids, such as coffee, tea, and carbonated drinks"
heart attack,MayoClinic,"Coronary artery disease causes most heart attacks. In coronary artery disease, one or more of the heart (coronary) arteries are blocked. This is usually due to cholesterol-containing deposits called plaques. Plaques can narrow the arteries, reducing blood flow to the heart.

If a plaque breaks open, it can cause a blood clot in the heart.

A heart attack may be caused by a complete or partial blockage of a heart (coronary) artery. One way to classify heart attacks is whether an electrocardiogram (ECG or EKG) shows some specific changes (ST elevation) that require emergency invasive treatment. Your health care provider may use electrocardiogram (ECG) results to describe these types of heart attacks.

An acute complete blockage of a medium or large heart artery usually means you've had an ST elevation myocardial infarction (STEMI).
A partial blockage often means you've had a non-ST elevation myocardial infarction (NSTEMI). However, some people with non-ST elevation myocardial infarction (NSTEMI) have a total blockage.
Not all heart attacks are caused by blocked arteries. Other causes include:

Coronary artery spasm. This is a severe squeezing of a blood vessel that's not blocked. The artery generally has cholesterol plaques or there is early hardening of the vessel due to smoking or other risk factors. Other names for coronary artery spasms are Prinzmetal's angina, vasospastic angina or variant angina.
Certain infections. COVID-19 and other viral infections may cause damage to the heart muscle.
Spontaneous coronary artery dissection (SCAD). This life-threatening condition is caused by a tear inside a heart artery."
heart attack,MedlinePlus,"A substance called plaque can build up in the walls of your coronary arteries. This plaque is made up of cholesterol and other cells.

A heart attack may occur when:

A disruption in the plaque occurs. This triggers blood platelets and other substances to form a blood clot at the site that blocks most or all of the oxygen-carrying blood from flowing to a part of the heart muscle. This is the most common cause of heart attack.
The cause of heart attack is not always known, but there are well known risk factors.

Heart attack may occur:

When you are resting or asleep
After a sudden increase in physical activity
When you are active outside in cold weather
After sudden, severe emotional or physical stress, including an illness"
heart attack,Healthline,"The leading cause of heart attacks is coronary heart disease. This is where plaque builds up in the arteries that supply blood to the heart. The general buildup of plaque in the arteries is also known as atherosclerosis.

There are two main types of heart attack.

Type I heart attacks are where plaque on the inner wall of the artery ruptures and releases cholesterol and other substances into the bloodstream. This can then form a blood clot and block the artery.

In type II heart attacks the heart does not receive as much oxygen-rich blood as it needs, but there is not a complete blockage of an artery.

Other causes of heart attacks include:

torn blood vessels
blood vessel spasms
drug misuse
hypoxia, lack of oxygen in the blood"
hemorrhoids,MayoClinic,"The veins around the anus tend to stretch under pressure and may bulge or swell. Hemorrhoids can develop from increased pressure in the lower rectum due to:

Straining during bowel movements.
Sitting for long periods of time, especially on the toilet.
Having chronic diarrhea or constipation.
Being obese.
Being pregnant.
Having anal intercourse.
Eating a low-fiber diet.
Regularly lifting heavy items."
hemorrhoids,MedlinePlus,"Hemorrhoids are very common. They result from increased pressure on the anus. This can occur during pregnancy or childbirth, and due to constipation. The pressure causes the normal anal veins and tissue to swell. This tissue can bleed, often during bowel movements.

Hemorrhoids may be caused by:

Straining during bowel movements
Constipation
Sitting for long periods of time, especially on the toilet
Certain diseases, such as cirrhosis"
hemorrhoids,Healthline,"Hemorrhoids occur when there’s too much pressure on the veins around your anus. Possible causes and risk factors include:

straining during a bowel movement
sitting for a long period of time, especially on the toilet
having chronic constipation or diarrhea
having a family history of hemorrhoids
engaging in consistent heavy lifting or other activities that strain your body
having obesity
having anal sexual intercourse, which can irritate hemorrhoids
being pregnant (an enlarged uterus presses on the vein in the colon, causing it to bulge)
being over the age of 50"
hepatitis A,MayoClinic,"Hepatitis A is caused by a virus that infects liver cells and causes inflammation. The inflammation can affect how your liver works and cause other symptoms of hepatitis A.

The virus spreads when infected stool, even just tiny amounts, enters the mouth of another person (fecal-oral transmission). You may get hepatitis A when you eat or drink something contaminated with infected stool. You may also get the infection through close contact with a person who has hepatitis A. The virus can live on surfaces for a few months. The virus does not spread through casual contact or by sneezing or coughing.

Here are some of the specific ways the hepatitis A virus can spread:

Eating food handled by someone with the virus who doesn't thoroughly wash hands after using the toilet
Drinking contaminated water
Eating food washed in contaminated water
Eating raw shellfish from water polluted with sewage
Being in close contact with a person who has the virus — even if that person has no symptoms
Having sexual contact with someone who has the virus"
hepatitis A,MedlinePlus,"Hepatitis A is caused by the hepatitis A virus. The virus spreads through contact with an infected person's stool. This can happen if you:

Eat food made by someone who has the virus and did not properly wash their hands after using the bathroom
Drink contaminated water or eat foods that were rinsed with contaminated water
Have close personal contact with someone who has hepatitis A. This could be through certain types of sex (like oral-anal sex), taking care of someone who is ill, or using illegal drugs with others."
hepatitis A,Healthline,"People develop a hepatitis A infection after contracting HAV. This virus is typically transmitted by ingesting food or liquid contaminated with fecal matter that contains the virus. Once transmitted, the virus spreads through the bloodstream to the liver, where it causes inflammation and swelling.

In addition to transmission from eating food or drinking water containing HAV, the virus can also be spread by close personal contact with someone who already has it. HAV is contagious, and a person who has hepatitis A can easily pass the disease to others living in the same household.

You can contract hepatitis A by:

eating food prepared by someone with the hepatitis A virus
eating food handled by preparers who don’t follow strict hand-washing routines before touching food that you eat
eating sewage-contaminated raw shellfish
having sex with someone who has the hepatitis A virus
drinking polluted water
coming in contact with hepatitis A-infected fecal matter"
hepatitis B,MayoClinic,"Hepatitis B is caused by the hepatitis B virus (HBV). The virus passes from person to person through blood, semen or other body fluids. It does not spread by sneezing or coughing.

Common ways that HBV can spread are:

Sexual contact. You may get hepatitis B if you have sex with someone who is infected and you don't use a condom. The virus can pass to you if the person's blood, saliva, semen or vaginal fluids enter your body.
Sharing of needles. HBV easily spreads through needles and syringes that are tainted with infected blood. Sharing equipment used to inject illicit drugs puts you at high risk of hepatitis B.
Accidental needlesticks. Hepatitis B is a concern for healthcare workers and anyone else who comes in contact with human blood.
Pregnant person to newborn. Pregnant people infected with HBV can pass the virus to their babies during childbirth. But the newborn can be vaccinated to prevent getting infected in almost all cases. Talk with your healthcare professional about being tested for hepatitis B if you are pregnant or want to become pregnant."
hepatitis B,MedlinePlus,"You can catch hepatitis B infection through contact with the blood or body fluids (semen, vaginal fluids, and saliva) of a person who has the virus.

Exposure may occur:

After a needlestick or sharps injury
If any blood or other body fluid touches your skin, eyes or mouth, or open sores or cuts
People who may be at risk for hepatitis B are those who:

Have unprotected sex with an infected partner
Receive blood transfusions (not common in the United States)
Have contact with blood at work (such as health care workers)
Have been on long-term kidney dialysis
Get a tattoo or acupuncture with unclean needles
Share needles or straws during drug use
Share personal items (such as toothbrush, razor, and nail clippers) with a person who has the virus
Were born to a hepatitis-B infected mother
All blood used for blood transfusions is screened, so the chance of getting the virus in this way is very small."
hepatitis B,Healthline,"Hepatitis B is a liver infection caused by the hepatitis B virus. There are other forms of hepatitis, namely A, C, D, and E. Hepatitis B can cause an acute (short-term) or chronic (long-term) infection.

The hepatitis B virus is transmitted through bodily fluids, especially blood. It can also be transmitted through semen and vaginal fluids. Although the virus can be detected in saliva, it’s not transmitted through saliva."
hepatitis C,MayoClinic,"Hepatitis C infection is caused by the hepatitis C virus (HCV). The infection spreads when blood that has the virus enters the bloodstream of a person who isn't affected.

Around the world, hepatitis C infection exists in several forms, called genotypes. There are seven genotypes and 67 subtypes. The most common hepatitis C genotype in the United States is type 1.

Chronic hepatitis C follows the same course no matter what the genotype of the infecting virus. But treatment can vary depending on viral genotype. However, newer antiviral drugs can treat many genotypes."
hepatitis C,MedlinePlus,"Hepatitis C infection is caused by the hepatitis C virus (HCV).

You can catch hepatitis C if the blood of someone who has HCV enters your body. Exposure may occur:

After a needle stick or sharps injury
If blood from someone who has HCV contacts a cut on your skin or contacts your eyes or mouth
While injecting street drugs
People at risk for HCV are those who:

Inject street drugs or share a needle with someone who has HCV
Have been on long-term kidney dialysis
Have regular contact with blood at work (such as a health care worker)
Have unprotected sexual contact with a person who has HCV
Were born to a mother who had HCV
Received a tattoo or acupuncture with needles that were not disinfected properly after being used on another person (risk is very low with practitioners who have a tattoo license or permit or an acupuncture license)
Received an organ transplant from a donor who has HCV
Share personal items, such as toothbrushes and razors, with someone who has HCV (less common)
Received a blood transfusion (rare in the United States since blood screening became available in 1992)"
hepatitis C,Healthline,"Hepatitis C is a liver disease that occurs due to HCV infection. HCV transmits through blood-to-blood contact.

This can happen as a result of:

using nonsterile needles, syringes, and other supplies to inject or inhale
pregnancy or childbirth
oral, vaginal, or anal sex without a condom or other barrier method
getting a tattoo or a piercing with nonsterile equipment
sharing personal hygiene items, like razors or toothbrushes
You have an increased risk of HCV infection if you:

have used injection drugs
have a sexual partner with hepatitis C
have HIV
received hemodialysis treatment for an extended period
received a blood transfusion or organ transplant before 1992
received clotting factor concentrates or other blood products before 1987"
hernia,MayoClinic,"Hernias occur due to a combination of muscle weakness and strain, and their development can be either rapid or gradual depending on the cause.

Common causes of muscle weakness or strain that may lead to a hernia include:

Congenital conditions present from birth due to developmental issues in the womb
Aging
Injuries or complications from surgery
Intense physical activity or heavy lifting
Persistent coughing or chronic obstructive pulmonary disease (COPD)
Pregnancy, particularly with multiple pregnancies
Constipation, causing straining during bowel movements
Being overweight or obese
Abdominal fluid buildup (ascites)
Additionally, certain factors increase the risk of hernia development, such as:

Premature birth or low birth weight
Older age
Chronic coughing (due to repeated pressure on the abdomen)
Cystic fibrosis
Pregnancy
Persistent constipation
Excess weight or obesity
Smoking, which weakens connective tissues
A personal or family history of hernias"
hernia,MedlinePlus,"Hernias result from a combination of muscle weakness and strain, and they may develop rapidly or gradually depending on the underlying cause.

Some common causes of muscle weakness or strain that can contribute to the formation of a hernia include:

A congenital condition present from birth due to development in the womb
Aging
Injury or surgical damage
Strenuous physical activity or heavy lifting
Chronic coughing or chronic obstructive pulmonary disease (COPD)
Pregnancy, particularly multiple pregnancies
Constipation, leading to straining during bowel movements
Being overweight or obese
Ascites (fluid buildup in the abdomen)
Certain risk factors also increase the likelihood of developing a hernia, including:

Premature birth or low birth weight
Advanced age
Chronic coughing (due to repeated abdominal pressure)
Cystic fibrosis
Pregnancy
Chronic constipation
Obesity or being overweight
Smoking, which weakens connective tissue
A personal or family history of hernias"
hernia,Healthline,"Hernias are caused by a combination of muscle weakness and strain. Depending on its cause, a hernia can develop quickly or over a long period of time.

Some common causes of muscle weakness or strain that can lead to a hernia include:

a congenital condition, which occurs during development in the womb and is present from birth
aging
damage from an injury or surgery
strenuous exercise or lifting heavy weights
chronic coughing or chronic obstructive pulmonary disorder (COPD)
pregnancy, especially having multiple pregnancies
constipation, which causes you to strain when having a bowel movement
being overweight or having obesity
ascites
There are also certain risk factors that make you more likely to develop a hernia. They include:

being born prematurely or having a low birth weight
being older
chronic cough (likely due to the repetitive increase in abdominal pressure)
cystic fibrosis
pregnancy
chronic constipation
being overweight or having obesity
smoking, which leads to the weakening of connective tissue
a personal or family history of hernias"
HIV,MayoClinic,"HIV is caused by a virus. It can spread through sexual contact, shooting of illicit drugs or use of shared needles, and contact with infected blood. It also can spread from parent to child during pregnancy, childbirth or breastfeeding.

HIV destroys white blood cells called CD4 T cells. These cells play a large role in helping the body fight disease. The fewer CD4 T cells you have, the weaker your immune system becomes."
HIV,MedlinePlus,"HIV is spread through certain body fluids from a person who has HIV. This can happen:

By having unprotected vaginal or anal sex with a person who has HIV. ""Unprotected"" means not using condoms or medicine to treat or prevent HIV. This is the most common way that it spreads.
By sharing drug needles.
Through contact with the blood of a person with HIV.
From mother to baby during pregnancy, childbirth, or breastfeeding."
HIV,Healthline,"HIV is caused by a virus and can be transmitted through sexual contact, sharing needles or injecting illicit drugs, and exposure to infected blood. It can also be passed from parent to child during pregnancy, childbirth, or breastfeeding.

HIV targets and destroys white blood cells known as CD4 T cells, which are essential for the immune system to combat diseases. As the number of CD4 T cells decreases, the immune system becomes progressively weaker."
hives,MayoClinic,"When you experience an allergic reaction to a substance, your body releases histamine and other chemicals into the bloodstream, leading to symptoms such as itching, swelling, and other discomforts. Hives are a common result of such reactions, particularly among individuals with other allergies like hay fever.

Angioedema, which is swelling in deeper layers of tissue, can sometimes accompany hives. It can occur anywhere on the body but is especially concerning when it affects the mouth or throat, as it may cause severe symptoms like airway obstruction.

Various substances can trigger hives, including:

Animal dander (especially from cats)
Insect bites
Medications
Pollen
Foods such as shellfish, fish, nuts, eggs, and milk"
hives,MedlinePlus,"When you have an allergic reaction to a substance, your body releases histamine and other chemicals into the blood. This causes itching, swelling, and other symptoms. Hives are a common reaction. People with other allergies, such as hay fever, often get hives.

Angioedema is swelling of the deeper tissue that sometimes occurs with hives. Like hives, angioedema can occur on any part of the body. When it occurs around the mouth or throat, the symptoms can be severe, including airway blockage.

Many substances can trigger hives, including:

Animal dander (especially cats)
Insect bites
Medicines
Pollen
Shellfish, fish, nuts, eggs, milk, and other foods"
hives,Healthline,"Hives are usually caused by an allergic reaction to something that you have encountered or swallowed. When you have an allergic reaction, your body begins to release histamines into your blood. Histamines are chemicals your body produces in an attempt to defend itself against infection and other outside intruders.

In some people, histamines can cause swelling, itching, and many of the symptoms that are experienced with hives. In terms of allergens, hives can be caused by factors such as pollen, medications, food, animal dander, and insect bites.

Hives might also be caused by circumstances besides allergies. It’s not uncommon for people to experience hives as the result of stress, tight clothes, exercise, illnesses, or infections.

It’s also possible to develop hives as the result of excessive exposure to hot or cold temperatures or from irritation due to excessive sweating. Because there are several potential triggers, many times the actual cause of hives can’t be determined."
kidney stones,MayoClinic,"Kidney stones often have no definite, single cause, although several factors may increase your risk.

Kidney stones form when your urine contains more crystal-forming substances — such as calcium, oxalate and uric acid — than the fluid in your urine can dilute. At the same time, your urine may lack substances that prevent crystals from sticking together, creating an ideal environment for kidney stones to form.

Types of kidney stones
Knowing the type of kidney stone you have helps determine its cause, and may give clues on how to reduce your risk of getting more kidney stones. If possible, try to save your kidney stone if you pass one so that you can bring it to your doctor for analysis.

Types of kidney stones include:

Calcium stones. Most kidney stones are calcium stones, usually in the form of calcium oxalate. Oxalate is a substance made daily by your liver or absorbed from your diet. Certain fruits and vegetables, as well as nuts and chocolate, have high oxalate content.

Dietary factors, high doses of vitamin D, intestinal bypass surgery and several metabolic disorders can increase the concentration of calcium or oxalate in urine.

Calcium stones may also occur in the form of calcium phosphate. This type of stone is more common in metabolic conditions, such as renal tubular acidosis. It may also be associated with certain medications used to treat migraines or seizures, such as topiramate (Topamax, Trokendi XR, Qudexy XR).

Struvite stones. Struvite stones form in response to a urinary tract infection. These stones can grow quickly and become quite large, sometimes with few symptoms or little warning.
Uric acid stones. Uric acid stones can form in people who lose too much fluid because of chronic diarrhea or malabsorption, those who eat a high-protein diet, and those with diabetes or metabolic syndrome. Certain genetic factors also may increase your risk of uric acid stones.
Cystine stones. These stones form in people with a hereditary disorder called cystinuria that causes the kidneys to excrete too much of a specific amino acid."
kidney stones,MedlinePlus,"Genetic changes can increase the risk of developing kidney stones, often acting in combination with a variety of environmental and lifestyle factors. Most genes involved in the condition are important for transmitting chemical signals from outside cells to inside cells or transporting materials in and out of cells. These processes help regulate the levels of various materials within cells, including the minerals and compounds that make up kidney stones. Changes in these genes can alter the levels of these materials in cells, leading to an imbalance of minerals and compounds in urine. As a result, the likelihood of stone formation increases.

A key factor that contributes to the development of kidney stones is too little water in the body (dehydration). When a person is dehydrated, they excrete less water in their urine, so the urine becomes concentrated with minerals and compounds that can cluster to form stones. Eating certain foods, such as animal proteins or foods high in sodium, can increase the likelihood of developing stones. A diet deficient in calcium can increase levels of other substances that cause stone development in individuals who have a history of kidney stones. Additionally, people who take certain medications, such as diuretics, which help remove water and salt from the body through urine, or calcium antacids, which treat indigestion by neutralizing stomach acids, are more likely to develop kidney stones.

In most cases, kidney stones occur without any other health issues. However, some people develop kidney stones as part of another condition. About half of people who develop calcium stones have high levels of calcium in the urine (hypercalciuria). Hypercalciuria often runs in families. Some other health conditions that increase the risk of kidney stones include obesity, type 2 diabetes, inflammatory bowel disease (abnormal inflammation of the intestinal walls), gout (abnormal inflammation in the joints caused by high levels of uric acid in the blood), hyperparathyroidism (overactivity of the parathyroid glands), renal tubular acidosis (kidney dysfunction that leads to too much acid in the blood), and recurrent urinary tract infections."
kidney stones,Healthline,"Kidney stones are most likely to occur in people between the ages of 20 and 50.

Different factors can increase your risk of developing a stone. In the United States, white people are more likely to have kidney stones than Black people.

Sex also plays a role. More men than women develop kidney stones, according to the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)Trusted Source.

A history of kidney stones can increase your risk. So does a family history of kidney stones.

Other risk factors include:

dehydration
obesity
a diet with high levels of protein, salt, or glucose
hyperparathyroid condition
gastric bypass surgery
inflammatory bowel diseases that increase calcium absorption
taking medications such as triamterene diuretics, antiseizure drugs, and calcium-based antacids"
obesity,MayoClinic,"Although there are genetic, behavioral, metabolic and hormonal influences on body weight, obesity occurs when you take in more calories than you burn through typical daily activities and exercise. Your body stores these excess calories as fat.

In the United States, most people's diets are too high in calories — often from fast food and high-calorie beverages. People with obesity might eat more calories before feeling full, feel hungry sooner, or eat more due to stress or anxiety.

Many people who live in Western countries now have jobs that are much less physically demanding, so they don't tend to burn as many calories at work. Even daily activities use fewer calories, courtesy of conveniences such as remote controls, escalators, online shopping, and drive-through restaurants and banks."
obesity,MedlinePlus,"Taking in more calories than your body uses can lead to obesity. This is because your body stores unused calories as fat. Obesity can be caused by:

Eating more food than your body can use
Drinking too much alcohol
Not getting enough exercise
Many people with obesity who lose large amounts of weight and gain it back think it is their fault. They blame themselves for not having the willpower to keep the weight off. Many people regain more weight than they lost.

Today, we know that biology is a big reason why some people cannot keep the weight off. Some people who live in the same place and eat the same foods develop obesity, while others do not. Our bodies have a complex system to keep our weight at a healthy level. In some people, this system does not work as well as it should.

The way we eat when we are children can affect the way we eat as adults.

The way we eat over many years becomes a habit. It affects what we eat, when we eat, and how much we eat.

We may feel that we are surrounded by things that make it easy to overeat and hard to stay active.

Many people feel they do not have time to plan and make healthy meals.
Many people do not have ready access to healthy foods making it difficult to plan and make healthy meals.
More people today work desk jobs compared to more active jobs in the past.
People with little free time may have less time to exercise.
The term eating disorder means a group of medical conditions that have an unhealthy focus on eating, dieting, losing or gaining weight, and body image. A person may have obesity, follow an unhealthy diet, and have an eating disorder all at the same time.

Sometimes, medical problems or treatments cause or contribute to weight gain, including:

Underactive thyroid (hypothyroidism)
Medicines such as birth control pills, antidepressants, and antipsychotics
Other things that can cause weight gain are:

Quitting smoking -- Many people who quit smoking gain 4 to 10 pounds (lb) or 2 to 5 kilograms (kg) in the first 6 months after quitting.
Stress, anxiety, feeling sad, depression, or not sleeping well.
Menopause -- Women may gain 12 to 15 lb (5.5 to 7 kg) during menopause.
Pregnancy -- Women may not lose the weight they gained during pregnancy."
