disease,cause,bad_response,missing_point
fibromyalgia,"Healthcare professionals and researchers do not know what causes fibromyalgia.

According to the latest research, the cause appears to involve a genetic disposition complemented by one or more triggers (such as infection, trauma, or stress).

Experts do not fully understand what causes the chronic widespread nature of fibromyalgia pain, either.

One theory is that the brain lowers the pain threshold. Sensations that were not painful before become very painful over time.

Another theory is that the brain and nerves may misinterpret or overreact to normal pain signals. They become more sensitive, to the point where they cause unnecessary or exaggerated pain. This may be due to a chemical imbalance in the brain or an abnormality in the dorsal root ganglion, which is a cluster of neurons in the spine.

Genes
Fibromyalgia often runs in families. If you have a family member with this condition, you’re at a higher risk for developing it.

Researchers think certain gene mutations may play a role. They’ve identified a few possible genes that affect the transmission of chemical pain signals between nerve cells.

Infections
A past illness could trigger fibromyalgia or make its symptoms worse. Infections that have possible links to fibromyalgia include:

flu
pneumonia
Epstein-Barr virus
gastrointestinal infections, such as those caused by the bacteria Salmonella and Shigella
Trauma
People who go through severe physical or emotional trauma may develop fibromyalgia. The condition has been linked to post-traumatic stress disorder (PTSD).

Stress
Like trauma, stress can have long-lasting effects on your body. Stress has been linked to hormonal changes that could contribute to fibromyalgia.",Fibromyalgia occurs because of past infections or emotional trauma.,Excludes genetic predisposition and stress. Does not mention brain sensitivity or nerve misinterpretation theories.
fibromyalgia,"Healthcare professionals and researchers do not know what causes fibromyalgia.

According to the latest research, the cause appears to involve a genetic disposition complemented by one or more triggers (such as infection, trauma, or stress).

Experts do not fully understand what causes the chronic widespread nature of fibromyalgia pain, either.

One theory is that the brain lowers the pain threshold. Sensations that were not painful before become very painful over time.

Another theory is that the brain and nerves may misinterpret or overreact to normal pain signals. They become more sensitive, to the point where they cause unnecessary or exaggerated pain. This may be due to a chemical imbalance in the brain or an abnormality in the dorsal root ganglion, which is a cluster of neurons in the spine.

Genes
Fibromyalgia often runs in families. If you have a family member with this condition, you’re at a higher risk for developing it.

Researchers think certain gene mutations may play a role. They’ve identified a few possible genes that affect the transmission of chemical pain signals between nerve cells.

Infections
A past illness could trigger fibromyalgia or make its symptoms worse. Infections that have possible links to fibromyalgia include:

flu
pneumonia
Epstein-Barr virus
gastrointestinal infections, such as those caused by the bacteria Salmonella and Shigella
Trauma
People who go through severe physical or emotional trauma may develop fibromyalgia. The condition has been linked to post-traumatic stress disorder (PTSD).

Stress
Like trauma, stress can have long-lasting effects on your body. Stress has been linked to hormonal changes that could contribute to fibromyalgia.",Fibromyalgia develops due to stress and hormonal changes.,"Omits genetic predisposition, infections, and trauma. Fails to address brain-related theories."
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur due to high cholesterol levels in the gallbladder.,Omits the role of bilirubin and improper bile emptying as causes. Fails to mention high-fat foods as a trigger.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by too much cholesterol in your bile.,Excludes bilirubin-related stones and issues with bile not emptying properly. Does not mention dietary triggers like high-fat foods.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",High cholesterol in the bile can lead to gallstones.,Does not include bilirubin or improper bile emptying as causes. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop when your liver produces too much cholesterol.,Omits bilirubin-related stones and bile emptying issues. Does not mention the link to high-fat foods.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by cholesterol stones forming in the gallbladder.,Excludes bilirubin stones and improper bile concentration as causes. Fails to mention dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur due to high cholesterol or high-fat foods.,Does not include bilirubin-related stones or issues with bile not emptying properly.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop because of cholesterol imbalances in the gallbladder.,Omits bilirubin stones and improper bile emptying. Fails to mention dietary links.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.","Gallstones are caused by cholesterol stones, which are yellow in color.",Excludes bilirubin stones and bile emptying issues. Does not mention high-fat foods as a symptom trigger.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen when cholesterol in your bile forms stones.,Does not include bilirubin or bile emptying issues. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop when the gallbladder doesn’t function properly.,Excludes cholesterol and bilirubin stones as causes. Fails to mention dietary links.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by bile becoming overly concentrated.,Omits the role of cholesterol and bilirubin as specific causes. Fails to address high-fat food triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones form due to high cholesterol levels in the liver.,Does not include bilirubin stones or improper bile emptying as causes. Fails to mention high-fat foods as a symptom trigger.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Cholesterol stones are a common cause of gallstones.,Excludes bilirubin stones and bile concentration issues. Does not mention dietary factors.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur when bile fails to empty properly.,Omits the role of cholesterol and bilirubin in forming stones. Does not mention high-fat food triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen due to cholesterol stones forming in the gallbladder.,Excludes bilirubin stones and improper bile concentration. Fails to address dietary links.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by high cholesterol in the bile or high-fat foods.,Does not include bilirubin or improper bile emptying as causes.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur because of cholesterol imbalances in your gallbladder.,Omits bilirubin stones and bile concentration issues. Does not mention dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop when your bile becomes overly concentrated.,Excludes cholesterol and bilirubin as causes. Fails to mention the dietary link to high-fat foods.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Cholesterol stones are the main cause of gallstones.,Does not include bilirubin stones or improper bile emptying as causes. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen due to high cholesterol levels in the gallbladder.,Omits bilirubin-related stones and bile emptying issues. Does not mention high-fat foods as a symptom trigger.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.","Gallstones occur when bile fails to empty properly, becoming overly concentrated.",Excludes cholesterol and bilirubin stones as causes. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by cholesterol stones forming in the gallbladder.,Omits bilirubin stones and bile emptying issues. Does not mention dietary links.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop because of cholesterol and bile imbalances.,Does not include bilirubin stones or the role of high-fat foods.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen when the gallbladder doesn’t function properly.,Omits cholesterol and bilirubin stones as specific causes. Does not mention high-fat food triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by high cholesterol or high bilirubin in the bile.,Excludes bile emptying issues and dietary triggers like high-fat foods.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Cholesterol stones are the most common cause of gallstones.,Omits bilirubin stones and bile emptying issues. Does not address dietary factors.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur when your bile contains too much cholesterol.,Does not mention bilirubin stones or improper bile emptying. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen due to bile becoming overly concentrated.,Omits cholesterol and bilirubin stones as causes. Does not include high-fat foods as a trigger.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones are caused by high cholesterol in your gallbladder.,Excludes bilirubin stones and bile emptying issues. Fails to address dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur because of cholesterol or bile imbalances.,Does not include bilirubin stones or the role of dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.","Gallstones develop when bile fails to empty properly, becoming overly concentrated.",Excludes cholesterol and bilirubin as specific causes. Fails to mention dietary factors.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones happen when cholesterol levels in your bile are too high.,Omits bilirubin stones and bile emptying issues. Does not address dietary links.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones occur due to bile concentration issues in the gallbladder.,Does not include cholesterol and bilirubin stones as specific causes. Fails to address high-fat food triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Cholesterol stones are responsible for most cases of gallstones.,Excludes bilirubin stones and bile emptying issues. Does not mention dietary triggers.
gallstones,"The cause of gallstones is thought to be due to having too much cholesterol or bilirubin in your gallbladder.

Cholesterol: Too much cholesterol in your bile can lead to yellow cholesterol stones, which may develop if your liver makes more cholesterol than your bile can dissolve. Approximately 4 in 5 gallstones are made from cholesterol.
Bilirubin: This chemical is produced during the normal breakdown of red blood cells. After bilirubin is created, it passes through the liver and is excreted out of the body. These hard stones are often dark brown or black and form when your gallbladder can’t break down the excess bilirubin.
Gallstones may also happen if your gallbladder fails to properly empty its bile content. This bile can become overly concentrated, causing stones to form.

Gallbladder symptoms can sometimes happen after eating high fat foods, too.",Gallstones develop because of high cholesterol or bilirubin in the bile.,Omits bile emptying issues and dietary factors as triggers.
